Rank,Company,3-year Growth,2009 Revenue,Industry,City,State,INC Profile,Company URL,Description,2006 Revenue,Employees,Founded,Industry Rank
878,Skinit,344,$25.9 million,Consumer Products & Services,San Diego,CA,http://www.inc.com/inc5000/profile/skinit,http://www.skinit.com,"Skinit provides technology and products to customize personal electronic devices (PEDs) on-demand.  Skinit's infrastructure allows consumers to instantly personalize PEDs online via an extensive library of licensed artwork (NCAA, NFL, Disney, NASCAR, etc.), personal photos, graphic designs and downloads, and print the product immediately.",$5.8 million,78,2003,#50
879,HealthSource Chiropractic,344,$6.2 million,Health,Vermilion,OH,http://www.inc.com/inc5000/profile/healthsource-chiropractic,http://www.healthsourcechiro.com,HealthSource Chiropractic franchise company in the chiropractic and physical therapy niche. HealthSource both sells startup franchises and performs conversions of existing clinics.,$1.4 million,11,2006,#64
880,Maverick Constructors,343,$12.2 million,Construction,Miami,FL,http://www.inc.com/inc5000/profile/maverick-constructors,http://www.maverickconstructors.com,"Maverick provides construction management, pre-construction, design/build, specialty interior, and general contracting services.",$2.7 million,56,2005,#32
881,Lead Flash,343,$50.8 million,Advertising & Marketing,Boca Raton,FL,http://www.inc.com/inc5000/profile/lead-flash,http://www.leadflash.com,"Lead Flash provides online marketing and lead generation services for financial services companies, specializing in companies that offer payday loans. Lead Flash also provides lead generation services in the auto loan, debt consolidation and online education industries.",$11.4 million,45,2002,#89
882,Daytner Construction,343,$3.6 million,Construction,Mt. Airy,MD,http://www.inc.com/inc5000/profile/daytner-construction,http://www.daytnercorp.com,"Daytner Construction specializes in managing complex construction projects such as higher education and training facilities, labs and hi-tech areas, government facilities and specialty projects.","$811,833",8,2003,#33
883,Colorado Roofing & Exteriors,343,$10.6 million,Construction,Sheridan,CO,http://www.inc.com/inc5000/profile/colorado-roofing-exteriors,http://www.coloradoroofing.com,Colorado Roofing & Exteriors provides roof replacement services across the state of Colorado.,$2.4 million,25,1995,#34
884,MEDVAL,343,$3 million,Insurance,Columbia,MD,http://www.inc.com/inc5000/profile/medval,http://www.medval.com,"MEDVAL provides pre-settlement and post-settlement services for workers' compensation and liability claims. MEDVAL works with insurance companies, self-insured companies, and law firms to ensure compliance with the Medicare Secondary Payer act. Its primary service is developing Medicare Set Aside Allocation reports.","$669,432",25,2003,#13
885,Zebra Imaging,341,$17.7 million,Business Products & Services,Austin,TX,http://www.inc.com/inc5000/profile/zebra-imaging,http://www.zebraimaging.com,"Zebra Imaging designs, develops, and manufactures full color 3D holographic display systems for a variety of 3D visualization applications for both government and commercial markets.",$4 million,63,1996,#66
886,HiDef Lifestyle,340,$2.4 million,Retail,Harrisburg,PA,http://www.inc.com/inc5000/profile/hidef-lifestyle,http://www.hideflifestyle.com,"HiDef Lifestyle sells premium home electronics online, over the phone, and in a retail setting.","$535,000",5,2004,#42
887,Carchex,340,$10.8 million,Consumer Products & Services,Hunt Valley,MD,http://www.inc.com/inc5000/profile/carchex,http://www.carchex.com,"Carchex is a direct marketer of vehicle service contracts and pre-purchase vehicle inspection services. With its proprietary software, Carchex provides a consultative sales process that helps consumers choose a policy given their price and coverage needs. By representing several vehicle service contract providers, Carchex is able to offer a selection of coverage options.",$2.4 million,60,2003,#51
888,Astyra,340,$14.3 million,IT Services,Richmond,VA,http://www.inc.com/inc5000/profile/astyra,http://www.astyra.com,"Astyra provides IT staffing, application and business process outsourcing, technology integration, and project planning and management.",$3.3 million,124,1997,#86
889,Buycastings.com,339,$3.4 million,Business Products & Services,Miamisburg,OH,http://www.inc.com/inc5000/profile/buycastingscom,http://www.buycastings.com,"BuyCastings.com offers design, engineering, and producing capabilities for all types of molds and castings.","$763,186",15,2000,#67
890,Nutri-Force Nutrition,338,$36.8 million,Health,MIAMI LAKES,FL,http://www.inc.com/inc5000/profile/nutri-force-nutrition,http://www.nutriforce.com,Nutri-Force Nutrition manufactures and markets private label and branded nutritional supplements.,$8.4 million,290,2001,#65
891,Post-Up Stand,338,$4.5 million,Advertising & Marketing,Maple Heights,OH,http://www.inc.com/inc5000/profile/post-up-stand,http://www.postupstand.com,"Post-Up Stand provides banner stand displays and mobile presentations to trade shows, retail stores, restaurants, hotel lobbies and advertising display users. This year Post-Up Stand developed its new venture, wallzaz.com.",$1 million,30,2004,#90
892,R2integrated,337,$7.8 million,Advertising & Marketing,Baltimore,MD,http://www.inc.com/inc5000/profile/r2integrated,http://www.r2integrated.com,R2integrated is an Internet marketing technology company that provides related platforms and services.,$1.8 million,61,2004,#91
893,Mark Patrick Media,337,$2 million,Health,Barnegat,NJ,http://www.inc.com/inc5000/profile/mark-patrick-media,"http://markpatrickseminars.com, markpatrickmedia.com",Mark Patrick Media offers self improvement products such as weight loss and smoking cessation seminars.,"$465,014",14,2005,#66
894,iCrossing,336,$136.5 million,Advertising & Marketing,Scottsdale,AZ,http://www.inc.com/inc5000/profile/icrossing,http://www.icrossing.com,"iCrossing assists large companies such as Toyota, Epson, and Coca-Cola with digital advertising and search engine marketing. The company has 12 offices across the U.S. and Europe. The Wall Street Journal recently ranked iCrossing as one of the Top 50 Venture-Backed Companies.",$31.3 million,550,1998,#92
895,Amcom Software,336,$46.1 million,Telecommunications,Eden Prairie,MN,http://www.inc.com/inc5000/profile/amcom-software,http://www.amcomsoftware.com,"Amcom Software provides communications technology for contact centers and emergency management, mobile event notification and paging infrastructures. Amcom's products are used by organizations in health care, hospitality, education, business, and government.",$10.6 million,240,1983,#32
896,Climate Control Mechanical Services,334,$3.8 million,Construction,Ocala,FL,http://www.inc.com/inc5000/profile/climate-control-mechanical-services,http://www.climatecontrolflorida.com,"Climate Control Mechanical Services provides internal sheet metal fabrication, insulation, installation, and pipefitting faucets.","$875,000",25,2001,#35
897,Tangoe,334,$55.9 million,Telecommunications,Orange,CT,http://www.inc.com/inc5000/profile/tangoe,http://www.tangoe.com,"Tangoe provides software and technology-enabled services to help global organizations manage, understand, and control their fixed and mobile communications assets and costs.",$12.9 million,439,1984,#33
898,USI Technologies,334,$3.1 million,Business Products & Services,Westlake Village,CA,http://www.inc.com/inc5000/profile/usi-technologies,http://www.usitechnologies.com,USI Technologies founded UpSellit.com in 2005 to provide online businesses with automated chat functionality designed to capture exit traffic and up-sell or cross-sell to customers after a purchase.,"$714,500",20,2005,#68
899,lynda.com,334,$37.4 million,Education,Carpinteria,CA,http://www.inc.com/inc5000/profile/lyndacom,http://www.lynda.com,"lynda.com is a popular computer-skill online educational site, offering tens of thousands of straightforward, comprehensive instructional videos. From professional software tools including Photoshop, Flash, Dreamweaver, Logic, Illustrator and Office, to consumer-friendly education about digital photography, Web design, digital video, and many others, lynda.com's trainers and teachers provide comprehensive and unbiased video-based training to a global membership of tens of thousands of subscribers.",$8.6 million,103,1995,#12
900,Axyon Consulting,334,$3.9 million,Business Products & Services,Plano,TX,http://www.inc.com/inc5000/profile/axyon-consulting,http://www.axyonconsulting.com,"Axyon provides information lifecycle management consulting, and specializes in enterprise content management, data loss prevention, and data security/compliance.","$891,353",28,2004,#69
901,Wise Men Consultants,333,$29.9 million,IT Services,Houston,TX,http://www.inc.com/inc5000/profile/wise-men-consultants,http://www.wisemen.net,"Wise Men Consultants is an IT consulting firm that provides augmented staff, software, hardware, support, and services.",$6.9 million,270,1997,#87
902,Xtreme Consulting Group,333,$27.5 million,Business Products & Services,Redmond,WA,http://www.inc.com/inc5000/profile/xtreme-consulting-group,http://www.xtremeconsulting.com,"Xtreme Consulting Group provides product, project, event, and promotions management as well as IT consulting and technology. Xtreme Consulting also provides staffing augmentation and offshore support services.",$6.4 million,235,2005,#70
903,Source Technologies,333,$2 million,Energy,Albuquerque,NM,http://www.inc.com/inc5000/profile/source-technologies,http://www.stc-engineers.com,"Source Technologies identifies potential sources of energy from waste heat, plant effluents, local bio-mass, municipal solid waste (landfill gas), agricultural waste (dairy, swine or chicken waste) and develops facilities that will convert these waste fuels into usable energy. Source Technologies has developed large scale bio-mass-to-energy and landfill-to-energy facilities throughout the U.S. and currently provides energy from these facilities to some of the largest companies and most familiar corporate names in the world.","$469,000",15,2004,#32
904,Ali International,333,$4.5 million,Media,Los Angeles,CA,http://www.inc.com/inc5000/profile/ali-international,http://www.alibrown.com,"Ali International provides online marketing tools and strategies, coaching, seminars, and instructional literature for women in business who want to increase their wealth.",$1 million,11,2003,#14
905,Fearon Financial,332,$3.9 million,Financial Services,Powell,OH,http://www.inc.com/inc5000/profile/fearon-financial,http://www.fearonfinancial.com,Fearon Financial is a residential mortgage banker.,"$899,923",50,2005,#53
906,Disability Group,332,$9.4 million,Consumer Products & Services,Los Angeles,CA,http://www.inc.com/inc5000/profile/disability-group,http://www.socialsecuritylaw.com,Disability Group is a law firm specializing in helping people collect Social Security disability benefits.,$2.2 million,138,2004,#52
907,AJ Riggins,332,$2.1 million,Health,Dallas,TX,http://www.inc.com/inc5000/profile/aj-riggins,http://www.ajriggins.com,"AJ Riggins, through its three divisions, provides staffing of doctors, dentists, and other health care professionals for permanent and temporary positions in the private sector and in government organizations.","$494,585",5,2002,#67
908,Flipswap,332,$12.3 million,Consumer Products & Services,Torrance,CA,http://www.inc.com/inc5000/profile/flipswap,http://www.flipswap.com,"Flipswap exchanges consumers' and businesses' old cell phones for cash, credit at local wireless stores, or charitable donation. The company doesn't charge for shipping or any other fees. It gives every working phone a new life and recycles the rest.",$2.9 million,35,2005,#53
909,Celestar,331,$11.8 million,Government Services,Tampa,FL,http://www.inc.com/inc5000/profile/celestar,http://www.celestarcorp.com,"Celestar provides intelligence services, operations and planning support, and training to federal government organizations.",$2.7 million,85,2001,#116
910,Wave2Wave Communications,331,$79.9 million,Telecommunications,Hackensack,NJ,http://www.inc.com/inc5000/profile/wave2wave-communications,http://www.wave2wave.com,"Wave2Wave Communications provides high-speed wired and wireless broadband services. Its late 2007 acquisition of RNK Communications enables it to offer additional telecommunications services, including audio and Web teleconferencing and enterprise voice services. Wave2Wave filed to go public in February 2010 but postponed the IPO in May because of weak market conditions.",$18.6 million,173,1999,#34
911,Kimball Concepts,330,$2.9 million,Consumer Products & Services,Chandler,AZ,http://www.inc.com/inc5000/profile/kimball-concepts,http://kimballconcepts.com,Kimball Concepts sells infant and toddler apparel screen-printed with humorous messages and graphics.,"$671,144",8,1979,#54
912,Aaron's Sales & Lease Ownership,330,$6.3 million,Retail,Florence,KY,http://www.inc.com/inc5000/profile/aarons-sales-lease-ownership,http://www.aarons.com,"Aaron's Sales & Lease Ownership offers lease ownership and specialty retailing of furniture, consumer electronics, home appliances and computers, with more than 1,700 Company-operated and franchised stores in 48 states and Canada.",$1.5 million,51,2004,#43
913,Rockett Interactive,330,$5.4 million,Advertising & Marketing,Cary,NC,http://www.inc.com/inc5000/profile/rockett-interactive,http://www.rockettinteractive.com,"Rockett Interactive creates and manages comprehensive online advertising campaigns, and closely monitors results with sophisticated data tracking and analysis. Customers include Lawn Doctor and The Body Shop.",$1.3 million,10,2003,#93
914,InTec,330,$4.9 million,Government Services,Vienna,VA,http://www.inc.com/inc5000/profile/intec,http://www.intecllc.net,"InTec offers IT services to the federal government with particular emphasis on the intelligence community, Department of Defense, and Homeland Security.",$1.2 million,34,2004,#117
915,Summit Solutions,329,$15.5 million,Government Services,Hanover,MD,http://www.inc.com/inc5000/profile/summit-solutions,http://www.summitsolve.com,"Summit Solutions delivers discovery informatics, systems engineering, software development, and program management services to the intelligence community and the Department of Defense. Discovery informatics refers to applying computing and analytical science and technology to the discovery of new information by identifying and validating patterns in data.",$3.6 million,60,2002,#118
916,Stratus Building Solutions,329,$65.4 million,Business Products & Services,st louis,MO,http://www.inc.com/inc5000/profile/stratus-building-solutions,http://www.stratusbuildingsolutions.com,"Stratus Building Solutions provides complete facilities maintenance services for retail, commercial, industrial, professional, and multi-family buildings. Services include certified green cleaning, commercial cleaning, landscaping and lawn care, restroom care, floor maintenance, recycling, pressure washing, and security and safety.",$15.2 million,10,2004,#71
917,Grant Victor,329,$34.3 million,Financial Services,Kaysville,UT,http://www.inc.com/inc5000/profile/grant-victor,http://www.eglobal.com,"Grant Victor sells, installs, operates, and services ATM machines and operates bill payment kiosks.",$4.9 million,14,2000,#48
918,Lifematters,328,$5.3 million,Health,Bethesda,MD,http://www.inc.com/inc5000/profile/lifematters,http://www.lifemattersusa.com,"LifeMatters employs home-care nurses and nonmedical home caregivers in the Washington, D.C. area.",$1.2 million,320,2006,#68
919,Zipcar,328,$131.2 million,Consumer Products & Services,Cambridge,MA,http://www.inc.com/inc5000/profile/zipcar,http://www.zipcar.com,"Zipcar rents cars on demand, by the hour or by the day. Instead of focusing on travelers like most car rental companies, Zipcar specializes in serving people in urban markets who don't own cars but have a need to use one from time to time. The company filed for an IPO on June 1 this year.",$30.7 million,406,2000,#55
920,Planet Fitness,326,$129.5 million,Health,Newington,NH,http://www.inc.com/inc5000/profile/planet-fitness,http://www.planetfitness.com,"Planet Fitness franchises 320 fitness clubs in 36 states and has a more than 2.1 million members. The company keeps prices low by eliminating the costly, often under-utilized extras offered by other clubs.",$30.4 million,170,1992,#69
921,Wells Manufacturing,326,$3.5 million,Manufacturing,Houston,TX,http://www.inc.com/inc5000/profile/wells-manufacturing,http://www.wellsmfgcorp.com,Wells Manufacturing specializes in precision machining services for customers that require custom components.,"$830,000",10,2002,#13
922,Genuine Interactive,325,$5.1 million,Advertising & Marketing,boston,MA,http://www.inc.com/inc5000/profile/genuine-interactive,http://www.genuineinteractive.com,"Genuine Interactive provides digital advertising services involving video, mobile technologies, social media, and websites for clients such as French's Mustard, Children's Hospital Boston, Frank's Red Hot, MassMutual and 3DVIA.",$1.2 million,47,2004,#94
923,AmericaRx.com,325,$15.2 million,Retail,East Elmhurst,NY,http://www.inc.com/inc5000/profile/americarxcom,http://www.americarx.com,"AmericaRx.com sells health, beauty, and household products online.",$3.6 million,20,1999,#44
924,PersonalizationMall.com,324,$40.9 million,Consumer Products & Services,Burr Ridge,IL,http://www.inc.com/inc5000/profile/personalizationmallcom,http://www.personalizationmall.com,PersonalizationMall.com sells a large variety of personalized gifts on its website inluding party favors and baby gifts.,$9.7 million,170,2000,#56
925,Standing Dog Interactive,324,$3.2 million,Advertising & Marketing,Dallas,TX,http://www.inc.com/inc5000/profile/standing-dog-interactive,http://www.standingdog.com,"Standing Dog Interactive provides Internet marketing, monitors clients' user-generated comments, and develops websites for customers, focusing on hotels and resorts such as Omni Hotels and Australia's Rydges Hotels.","$758,270",21,2005,#95
926,Gasch Printing,323,$2.5 million,Business Products & Services,Odenton,MD,http://www.inc.com/inc5000/profile/gasch-printing,http://www.gaschprinting.com,"Family-owned and operated, Gasch Printing provides commercial digital and offset printing, specializing in short-run digital printed perfect-bound books.","$579,642",12,1982,#72
927,WorldLink,323,$22.5 million,Human Resources,Frisco,TX,http://www.inc.com/inc5000/profile/worldlink,http://www.worldlink-us.com,"WorldLink provides supplemental IT, sales and marketing, accounting and finance, and engineering staffing.",$5.3 million,380,1998,#14
928,Sandler Partners,322,$4.8 million,Telecommunications,Manhattan Beach,CA,http://www.inc.com/inc5000/profile/sandler-partners,http://www.sandlerpartners.com,"Sandler Partners is a telecommunications consultancy and auditing firm that matches its clients with the highest quality communications service providers for voice and data while securing the lowest possible rates. Auditing services include reviews of invoices and contracts, rate negotiations, and vendor selection. Sandler is particularly focused on disaster recovery and business continuity planning.",$1.1 million,12,2003,#35
929,Compass Solutions,322,$3.7 million,IT Services,Washington,DC,http://www.inc.com/inc5000/profile/compass-solutions,http://www.compasscentral.com,"Compass Solutions provides IT consulting, staffing, and managed services for local governments, public utilities, telecoms, retailers, and financial services companies.","$877,290",30,2004,#88
930,American Radiologist Network,322,$2.6 million,Health,BOCA RATON,FL,http://www.inc.com/inc5000/profile/american-radiologist-network,http://amradnet.com,"American Radiologist Network provides health IT software and clinical services to nursing homes, assisted care facilities, clinics and hospitals in multiple US states. American Radiologist operates a system that provides radiology and cardiology services to these facilities using a managed software system approach. Utilizing a proprietary high speed medical information transfer network, the company is able to move complex images and data securely.","$624,378",37,2004,#70
931,Gravity Payments,322,$3.5 million,Financial Services,Seattle,WA,http://www.inc.com/inc5000/profile/gravity-payments,http://www.gravitypayments.com,"Gravity Payments processes debit, credit, and gift card payments for small and midsize merchants.","$835,883",45,2004,#55
932,Bioengineering Group,321,$9.1 million,Environmental Services,Salem,MA,http://www.inc.com/inc5000/profile/bioengineering-group,http://www.bioengineering.com,"The Bioengineering Group provides a full range of scientific, engineering, landscape planning, design, and construction services that incorporate its focus of ecosystem restoration and the application of sustainability principles. It serves a wide range of public and private sector clients, including the Federal Bureau of Prisons, multiple local governments, many schools, universities, nonprofits, and architectural firms, and companies such as Target and GE.",$2.2 million,72,1992,#9
933,Syndero,321,$62.8 million,Retail,San Francisco,CA,http://www.inc.com/inc5000/profile/syndero,http://www.syndero.com,"Syndero develops various products and services and retails them on separately branded websites. Its products include the OOKISA hair care line, TriClear acne treatment, OnLingo language learning CDs, and the Internet Career Kit, a package of instruction and tools to get up and selling online.",$14.9 million,0,2005,#45
934,IneoQuest Technologies,319,$44 million,Telecommunications,Mansfield,MA,http://www.inc.com/inc5000/profile/ineoquest-technologies,http://www.ineoquest.com,"IneoQuest Technologies sells hardware, software, and services that audit, monitor, analyze and troubleshoot digital video from a multi-dimensional perspective, serving customers in the telephony, cable, broadcast, and network equipment industries.",$10.5 million,181,2001,#36
935,Miller & Associates,319,$9.8 million,IT Services,Plano,TX,http://www.inc.com/inc5000/profile/miller-associates,http://www.mmillerassociates.com,"Miller & Associates is a multi-faceted technology company with divisions in rich Internet applications, business intelligence, touch-screen system development, consulting, and computer animation.",$2.3 million,63,2002,#89
936,InsideSales.com,318,$4.5 million,Software,Provo,UT,http://www.inc.com/inc5000/profile/insidesalescom,http://www.insidesales.com,"InsideSales.com provides a suite of lead management tools, including telephony, e-mail, fax, voice broadcasting, and sales work-flow management, built into contact management software.",$1.1 million,39,2004,#64
937,One Call Now,318,$5.7 million,Business Products & Services,Troy,OH,http://www.inc.com/inc5000/profile/one-call-now,http://www.onecallnow.com,"One Call Now automates phone calls to large lists of numbers, enabling clients such as youth sports teams, religious organizations, schools, and businesses to quickly notify list members of schedule changes, emergencies, and other important announcements.",$1.4 million,44,2003,#73
938,Gold Star Mortgage Financial Group,317,$15.3 million,Financial Services,Ann Arbor,MI,http://www.inc.com/inc5000/profile/gold-star-mortgage-financial-group,http://www.goldstarfinancial.com,Gold Star Mortgage Financial Group helps homebuyers and homeowners acquire mortgage financing and insurance.,$3.7 million,300,2000,#56
939,DOMA Technologies,316,$10.9 million,Business Products & Services,Virginia Beach,VA,http://www.inc.com/inc5000/profile/doma-technologies,http://www.domaonline.com,"DOMA Technologies specializes in converting paper documents into industry-standard digital images, as well as provides off-site learning and training, database development, requirements analysis, systems analysis, program management, infrastructure design, software development support, and administrative staffing assistance to government and health care customers.",$2.6 million,150,2000,#74
940,Lakeshore Engineering Services,316,$267.6 million,Construction,Detroit,MI,http://www.inc.com/inc5000/profile/lakeshore-engineering-services,http://www.lakeshoreeng.com,"Lakeshore Engineering Services provides start-to-finish services in general construction, program management, environmental remediation and clean-up, and facility management.",$64.3 million,0,1994,#36
941,Castle Rock Innovations,316,$2.2 million,IT Services,Chicago,IL,http://www.inc.com/inc5000/profile/castle-rock-innovations,http://www.castlellc.com,"Castle Rock Innovations provides software development, management consulting, and information management and architecture services to retailers, financial institutions, and health care companies.","$517,364",25,2003,#90
942,Joby,316,$16.6 million,Consumer Products & Services,San Francisco,CA,http://www.inc.com/inc5000/profile/joby,http://www.joby.com,"Joby makes the Gorillapod line of flexible tripods, Gorillamobile mobile device stands, and Gorillatorch hands-free flashlights.",$4 million,55,2005,#57
943,Staticworx,315,$3.7 million,Manufacturing,Watertown,MA,http://www.inc.com/inc5000/profile/staticworx,http://www.staticworx.com,"Staticworx manufactures flooring products that protect all types of worksites--electronics manufacturing, critical operations, data centers, call centers, explosives handling, and government--threatened by electrostatic discharge. The environmentally-friendly flooring options include rubber, vinyl tile, carpet, epoxy, and adhesives.","$901,681",6,2006,#14
944,Bluefish Wireless Management,314,$13.6 million,Telecommunications,Indianapolis,IN,http://www.inc.com/inc5000/profile/bluefish-wireless-management,http://www.bluefishwireless.net,"Bluefish Wireless Management helps large companies design, implement, and manage wireless networks, especially in the technology, federal government, and health care sectors.",$3.3 million,76,2001,#37
945,Net2EZ,314,$20.8 million,Telecommunications,Century City,CA,http://www.inc.com/inc5000/profile/net2ez,http://www.net2ez.com,Net2EZ Managed Data Centers is a nationwide provider of managed data center space and server collocation services. Net2EZ operates a coast-to-coast fiber optic network with access to most major network carriers and facilities.,$5 million,32,2001,#38
946,Manage Mobility,314,$6 million,Telecommunications,Alpharetta,GA,http://www.inc.com/inc5000/profile/manage-mobility,http://www.managemobility.com,"Manage Mobility is a national telecommunications consulting firm providing fully-customized wireless services for Sprint and its customers. End users range from major corporatation and government agencies to small businesses.  Manage Mobility combines wireless hardware, software, system integration, and vertical management tools to offer customers one point of contact for all their mobility needs.",$1.4 million,43,2005,#39
947,Office Remedies,313,$3.6 million,Business Products & Services,Herndon,VA,http://www.inc.com/inc5000/profile/office-remedies,http://www.officeremediesinc.com,"Office Remedies specializes in the management of large scale, data-intensive projects, custom research studies, and decision-support analysis. It helps clients unearth and manage important information within the organization or its constituencies and stakeholders.","$871,250",69,1988,#75
948,ELEVI Associates,313,$3.3 million,IT Services,Columbia,MD,http://www.inc.com/inc5000/profile/elevi-associates,http://www.elevi.net,"ELEVI Associates offers IT consulting, planning, implementation, and staffing and IT hardware and software products to commercial and government customers.","$800,898",21,2002,#91
949,Tully Rinckey,313,$5 million,Consumer Products & Services,Albany,NY,http://www.inc.com/inc5000/profile/tully-rinckey,http://www.tullylegal.com,"Tully Rinckey provides legal representation to individuals, families, and businesses in New York state, Washington, D.C., and beyond.",$1.2 million,45,2003,#58
950,Economic Modeling Specialists,313,$4.5 million,Business Products & Services,Moscow,ID,http://www.inc.com/inc5000/profile/economic-modeling-specialists,http://www.economicmodeling.com,Economic Modeling Specialists (EMSI) provides employment data and economic analysis through Web tools and custom reports to government and private-sector clients. It also produces comprehensive impact analysis for colleges and universities in the U.S. and internationally in addition to other labor market-related consulting services.,$1.1 million,40,1997,#76
951,SofTec Solutions,313,$29.7 million,IT Services,Englewood,CO,http://www.inc.com/inc5000/profile/softec-solutions,http://www.softecinc.com,SofTec Solutions provides a wide range of information technology consulting and outsourcing services.,$7.2 million,400,1996,#92
952,Presidium,313,$22.5 million,Education,Reston,VA,http://www.inc.com/inc5000/profile/presidium,http://www.presidiuminc.com,"Presidium operates 24-hour outsourced contact centers to handle services such as registration, bursary, and financial aid for students at more than 500 colleges and universities across the U.S. and in the U.K.",$5.5 million,500,2003,#13
953,Cafe Yumm!,312,$8.5 million,Food & Beverage,Eugene,OR,http://www.inc.com/inc5000/profile/cafe-yumm,http://www.cafeyumm.com,Cafe Yumm! sells franchises of Cafe Yumm! health-food restaurants and also manufactures and distributes Yumm! branded sauces and dressings.,$2.1 million,170,1997,#21
954,Global Strategies,312,$5.1 million,Security,Aliso Viejo,CA,http://www.inc.com/inc5000/profile/global-strategies,http://www.gsiprotection.com,"Global Strategies is a boutique protective services and security consulting firm catering to international corporate customers in high-risk environments. Services include specialized training in crisis management and high-risk protection, investigative services, security consulting and management, and bodyguard and kidnap and ransom services.",$1.2 million,12,2003,#27
955,National Sales & Supply,311,$11 million,Consumer Products & Services,Bensalem,PA,http://www.inc.com/inc5000/profile/national-sales-supply,http://majesticmulch.com,"National Sales & Supply manufactures Majestic Rubber Mulch and Majestic PlayTuff Tiles out of recycled tires for consumer and commercial applications. The company also makes an environmentally, children, and pet safe de-icer for use on driveways and pathways.",$2.7 million,40,2003,#59
956,Stafflogix,311,$57.1 million,Human Resources,Naperville,IL,http://www.inc.com/inc5000/profile/stafflogix,http://www.stafflogix.com,"Stafflogix provides contractor management, IT services, and HR services for businesses. The company's flagship product, Evance, is a Web-based software application that automates and tracks the recruiting and hiring process.",$13.9 million,1180,1998,#15
957,Innovative Integration,311,$4 million,IT Services,Indianapolis,IN,http://www.inc.com/inc5000/profile/innovative-integration,http://www.innovativeii.com,"Innovative Integration provides IT design, implementation, and support services, including network, security, VoIP telephony, and remote data storage services.","$963,160",16,2005,#93
958,CaseTech,311,$13.2 million,Business Products & Services,Tempe,AZ,http://www.inc.com/inc5000/profile/casetech,http://www.4casetech.com,"CaseTech distributes reusable shipping cases designed to protect sensitive equipment during shipping and offers safe storage services for fragile instruments and equipment. Industries served include defense contractors, aerospace, technology, health care, audio/visual, and manufacturing.",$3.2 million,5,1986,#77
959,Bulk TV & Internet,311,$15.5 million,Business Products & Services,Raleigh,NC,http://www.inc.com/inc5000/profile/bulk-tv-internet,http://www.bulktv.com,"Bulk TV & Internet sells DirecTV programming and Internet services in bulk packages to hotels, hospitals, and apartment complexes.",$3.8 million,30,2004,#78
960,TCG,310,$7.5 million,Government Services,Washington,DC,http://www.inc.com/inc5000/profile/tcg,http://www.tcg.com,"Formerly known as Turner Consulting Group, TCG provides grants management consulting, grantee community creation, and budget consulting services for the federal government.",$1.8 million,35,1994,#119
961,Billtrust,310,$16.9 million,Business Products & Services,Jamesburg,NJ,http://www.inc.com/inc5000/profile/billtrust,http://www.billtrust.com,"Billtrust offers paper and electronic billing services for contractors, manufacturers, newspapers, telecoms, hospitals, utilities, and financial services companies.",$4.1 million,55,2001,#79
962,CPower,309,$38.9 million,Energy,New York,NY,http://www.inc.com/inc5000/profile/cpower,http://www.cpowered.com,"CPower offers energy management services that enable companies to optimize their facilities and operations through strategic energy reduction initiatives, including programs that monetize their reduction efforts.",$9.5 million,79,2000,#33
963,Centerre Healthcare,309,$42.5 million,Health,Brentwood,TN,http://www.inc.com/inc5000/profile/centerre-healthcare,http://www.centerrehc.com,Centerre Healthcare partners with major acute care hospitals to develop and operate in-patient rehabilitation centers for those disabled by illness or injury.,$10.4 million,500,2002,#71
964,Colo4Dallas,309,$11.5 million,IT Services,Dallas,TX,http://www.inc.com/inc5000/profile/colo4dallas,http://www.colo4.com,"Colo4Dallas provides abundant, redundant, uninterruptible power for continuous uptime in its carrier-neutral colocation facility.",$2.8 million,23,2000,#94
965,Cornerstone OnDemand,308,$26.1 million,Software,Santa Monica,CA,http://www.inc.com/inc5000/profile/cornerstone-ondemand,http://www.cornerstoneondemand.com,"Cornerstone OnDemand publishes talent management software, available in 16 languages, to help organizations make decisions regarding training, social networking, compliance, performance, compensation, and succession planning. Clients include MasterCard, New York Presbyterian Hospital, and Save the Children.",$6.4 million,211,1999,#65
966,Affiliate Media,308,$7.2 million,Advertising & Marketing,Irvine,CA,http://www.inc.com/inc5000/profile/affiliate-media,http://www.affiliatemedia.com,"Affiliate Media manages a network of affiliate website publishers, allowing them to earn commissions by selling selected products on their sites.",$1.8 million,14,2002,#96
967,Lynx Network Group,308,$4.7 million,Telecommunications,Kalamazoo,MI,http://www.inc.com/inc5000/profile/lynx-network-group,http://www.golng.com,"Lynx Network Group is a wholesale and retail provider of telecommunication services in the Midwest, utilizing direct sales and agent channels to sell the newest technologies in voice and data services. A recipient of stimulus funding, the company is in the process of building a fiber optic network that wires under-served areas of Michigan. Lynx also provides telecom expense management services, managing professional services for commercial and nonprofit entities.",$1.1 million,9,2003,#40
968,CDW Merchants,308,$3.4 million,Business Products & Services,Evanston,IL,http://www.inc.com/inc5000/profile/cdw-merchants,http://www.cdwmerchants.com,"CDW Merchants designs, produces, and packs kits of visual props and decorative elements for large retail companies. Offerings include holiday decorations, employee apparel, frames, small fixtures, and table dressing.","$827,969",13,2005,#80
